Notation 1	Name
<http://uricorn.fly/tib_lok_sys#jur-22.1>	Fahrlässigkeit / Vorsatz / Schuld / Kausalität  / Vermutung
<http://uricorn.fly/tib_lok_sys#jur-185.2>	Öffentliche Sachen. Belastungen / Öffentliche Sachen. Entstehung / Öffentliche Sachen. Widmung
<http://uricorn.fly/tib_lok_sys#jur-100>	Europäische Einigung / Europäische Integration / Europarecht
<http://uricorn.fly/tib_lok_sys#jur-68.8>	Einzelne Menschenrechte im Völkerrecht
<http://uricorn.fly/tib_lok_sys#jur-333.3>	Subventionierung / Wirtschaftsförderung
<http://uricorn.fly/tib_lok_sys#jur-900-924>	Strafprozessrecht / Jugendstrafrecht
<http://uricorn.fly/tib_lok_sys#jur-281.8>	Schulrecht. Recht der Eltern
<http://uricorn.fly/tib_lok_sys#jur-69>	Gebiet und Raum im Völkerrecht / Staatsgebiet
<http://uricorn.fly/tib_lok_sys#jur-817.6>	Schadensversicherung. Hagel / Schadensversicherung. Naturkatastrophen
<http://uricorn.fly/tib_lok_sys#jur-650-670>	Besonderes Schuldrecht
<http://uricorn.fly/tib_lok_sys#jur-603.3>	Persönlichkeitsrechte - Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-109.5>	Europarecht. Steuerrecht
<http://uricorn.fly/tib_lok_sys#jur-30>	Rechtsgeschichte - allgemein
<http://uricorn.fly/tib_lok_sys#jur-86>	Rechtsordnung im Krieg / Besatzungsrecht
<http://uricorn.fly/tib_lok_sys#jur-21.5>	Entscheidungslehre
<http://uricorn.fly/tib_lok_sys#jur-507.7>	Zivilprozessrecht. Beweisverfahren
<http://uricorn.fly/tib_lok_sys#jur-342.2>	Öffentliches Privatvermögensrecht / Vermögensbildung / Privatisierung / Förderung
<http://uricorn.fly/tib_lok_sys#jur-450.6>	Sozialrecht. Verwaltungsakt
<http://uricorn.fly/tib_lok_sys#jur-245.1>	Umweltrecht / Umweltschutz / Immissionsrecht / Nachbarschutz - Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-870.5>	Deliktstypen / Gefährdungsdelikt / Verletzungsdelikt
<http://uricorn.fly/tib_lok_sys#jur-089-091>	Internationale Gerichtsbarkeit
<http://uricorn.fly/tib_lok_sys#jur-402.5>	Sonstige Straßen und Wege
<http://uricorn.fly/tib_lok_sys#jur-135.4>	Menschenwürde / Körperliche Unversehrtheit / Recht auf Leben / Recht auf Arbeit / Persönlichkeitsschutz / Informationelle Selbstbestimmung
<http://uricorn.fly/tib_lok_sys#jur-392.3>	Kapitalmarktstrafrecht
<http://uricorn.fly/tib_lok_sys#jur-103.3>	Europarecht. Menschenrechte
